Reported / Charged;Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Reported criminal offences;Penal Code, total;Slagelse;6377;6784;6716;6524;6758;6325;5904;5923;5120;5907;5308;4686;4560;4833
Reported criminal offences;Penal Code, total;Sorø;1668;1825;1855;2274;1874;1679;1675;1890;1602;1974;1856;1421;1240;1118
Reported criminal offences;Penal Code, total;Stevns;787;930;887;1016;790;829;842;724;645;661;661;670;532;585
Reported criminal offences;Penal Code, total;Vordingborg;3184;3763;3394;3066;3377;2577;2351;2548;2574;2915;2776;2043;1868;1739
Reported criminal offences;Penal Code, total;Region Syddanmark;90736;98515;100942;96090;92035;81546;77470;74407;66116;64483;64149;61344;59037;53152
Reported criminal offences;Penal Code, total;Assens;2154;2515;2736;2559;2152;2024;1913;1699;1447;1542;1264;1375;1550;1883
Reported criminal offences;Penal Code, total;Faaborg-Midtfyn;2058;2619;2870;2736;2861;2591;2029;2339;1886;1680;1821;1759;1539;1740
Reported criminal offences;Penal Code, total;Kerteminde;1224;1279;1500;1321;1164;1223;1153;1025;979;779;787;843;829;828
Reported criminal offences;Penal Code, total;Langeland;584;750;873;719;621;708;504;473;417;453;465;461;431;421
Reported criminal offences;Penal Code, total;Middelfart;2534;2804;2858;2785;2770;2391;2109;2155;1612;1778;2044;1674;1748;1709
Reported criminal offences;Penal Code, total;Nordfyns;1516;1842;2181;1826;1746;1533;1148;1257;999;1159;962;1196;981;1070
Reported criminal offences;Penal Code, total;Nyborg;2046;2515;2811;2447;2457;2439;1918;1945;1761;1618;1802;1548;1588;1403
Reported criminal offences;Penal Code, total;Odense;20985;21551;21967;20828;20041;18051;17387;16016;14720;14239;13527;12604;13135;12685
Reported criminal offences;Penal Code, total;Svendborg;3264;3925;3951;3864;3481;3233;3029;2631;2333;2221;2805;2422;2299;2163
Reported criminal offences;Penal Code, total;Ærø;213;185;170;143;130;152;179;120;97;115;146;133;110;104
Reported criminal offences;Penal Code, total;Billund;1485;1828;2217;2261;1979;2033;1755;1572;1444;1261;1316;1351;1267;975
Reported criminal offences;Penal Code, total;Esbjerg;8949;9722;9194;9702;9343;8046;7402;7500;6726;6887;6693;6602;6354;5950
Reported criminal offences;Penal Code, total;Fanø;243;157;151;152;124;144;142;144;116;106;138;176;129;122
Reported criminal offences;Penal Code, total;Fredericia;4652;5274;5087;5346;4797;4031;4594;4144;3772;3480;3325;3197;3305;2515
Reported criminal offences;Penal Code, total;Haderslev;4510;4979;4598;3990;3710;3554;3421;3697;3073;3531;2764;2427;2224;2015
Reported criminal offences;Penal Code, total;Kolding;8290;8834;9007;7686;7535;6499;6339;6756;6459;5642;6219;5803;4883;4093
Reported criminal offences;Penal Code, total;Sønderborg;4952;5485;5634;5471;5199;4235;4316;4229;3286;3749;3640;3431;2889;2483
Reported criminal offences;Penal Code, total;Tønder;2585;2425;2541;2266;2476;2176;2100;2046;1723;1562;1533;1721;2155;1333
Reported criminal offences;Penal Code, total;Varde;2887;3112;3235;3369;3195;2703;2430;2395;2166;2027;2173;2275;2133;1634
Reported criminal offences;Penal Code, total;Vejen;2980;2890;2926;3259;2666;2410;2828;1892;1716;1616;1572;1489;1348;1169
Reported criminal offences;Penal Code, total;Vejle;7707;8667;9329;8708;8938;7435;7052;6376;6285;5804;6021;5981;5507;4281
Reported criminal offences;Penal Code, total;Aabenraa;4918;5157;5106;4652;4650;3935;3722;3996;3099;3234;3132;2876;2633;2576
Reported criminal offences;Penal Code, total;Region Midtjylland;89462;92894;94166;91515;90434;85371;81206;75123;68467;69152;70692;66528;59115;56052
Reported criminal offences;Penal Code, total;Favrskov;2319;2350;2122;2363;2213;2132;2053;1834;1699;1659;2765;1540;1480;1453
Reported criminal offences;Penal Code, total;Hedensted;2119;2297;2532;2301;2404;2095;1841;1595;1478;1527;1610;1593;1399;1262
Reported criminal offences;Penal Code, total;Horsens;6082;6727;6875;6444;6605;5351;5230;4652;4425;4158;4783;4458;3957;3467
Reported criminal offences;Penal Code, total;Norddjurs;3043;3057;2929;2516;2265;1969;2000;1804;1732;2001;1455;1534;1511;1489
Reported criminal offences;Penal Code, total;Odder;1029;1083;1227;1150;1099;1123;924;911;743;749;851;715;616;580
Reported criminal offences;Penal Code, total;Randers;7192;7627;8235;7493;7167;6314;6419;5886;5811;6511;5441;4583;5155;5057
Reported criminal offences;Penal Code, total;Samsø;180;163;113;166;142;138;113;107;101;114;71;105;88;87
Reported criminal offences;Penal Code, total;Silkeborg;5411;5872;5696;5798;5281;5258;4474;4108;3663;3480;4001;3925;3264;3203
Reported criminal offences;Penal Code, total;Skanderborg;3292;3229;3723;3382;3583;3484;3155;3040;2619;2540;2827;2260;2098;1545
Reported criminal offences;Penal Code, total;Syddjurs;2380;2693;2932;2751;2512;2265;2326;2037;1823;1707;2023;1585;1397;1497
Reported criminal offences;Penal Code, total;Aarhus;33447;33067;32673;33181;35074;34352;33409;31549;27635;27891;26564;25259;22103;21316
Reported criminal offences;Penal Code, total;Herning;4662;5405;5836;5163;4895;4765;4351;3782;3916;4105;4083;4397;3832;3749
Reported criminal offences;Penal Code, total;Holstebro;3567;3779;3572;3313;3098;3116;2830;2599;2536;2249;3414;2959;2710;2244
Reported criminal offences;Penal Code, total;Ikast-Brande;2114;2410;2270;2611;2321;2244;1812;1665;1334;1653;1856;1616;1614;1574
Reported criminal offences;Penal Code, total;Lemvig;812;726;648;679;648;682;521;463;455;417;440;469;439;468
Reported criminal offences;Penal Code, total;Ringkøbing-Skjern;3045;3178;3133;3176;2756;2618;2408;2179;1885;1956;2108;1778;1439;1482
Reported criminal offences;Penal Code, total;Skive;2605;2836;3068;2590;2619;2248;2257;1919;1921;1716;1727;1672;1712;1519
Reported criminal offences;Penal Code, total;Struer;944;1243;1145;928;914;921;846;835;777;772;776;673;912;709
Reported criminal offences;Penal Code, total;Viborg;5219;5152;5437;5510;4838;4296;4237;4158;3914;3947;3897;5407;3389;3351
Reported criminal offences;Penal Code, total;Region Nordjylland;38244;40503;40633;37490;39655;34646;33708;29560;28342;27243;27387;25346;22677;19439
Reported criminal offences;Penal Code, total;Brønderslev;2150;1921;1780;1924;1973;1601;1639;1516;1208;1259;1339;1321;1098;981
Reported criminal offences;Penal Code, total;Frederikshavn;4295;4623;5056;4241;4421;3312;3268;2558;2943;3137;3302;3616;2473;2029
Reported criminal offences;Penal Code, total;Hjørring;4552;4364;4404;3849;3814;3065;3006;2611;3173;3171;3461;2592;2288;1769
Reported criminal offences;Penal Code, total;Jammerbugt;2067;2331;2592;2302;2295;2154;1909;1501;1604;1505;1388;1395;1219;1144
Reported criminal offences;Penal Code, total;Læsø;28;12;30;45;36;32;49;48;40;18;16;43;31;31
Reported criminal offences;Penal Code, total;Mariagerfjord;2341;2772;2961;2737;2705;2234;2227;2185;1876;1719;1540;1628;1525;1542
Reported criminal offences;Penal Code, total;Morsø;1216;1182;1124;952;976;1035;1015;1028;771;872;957;669;730;678
Reported criminal offences;Penal Code, total;Rebild;1120;1387;1307;1252;1249;1349;1184;993;924;939;834;721;703;660
Reported criminal offences;Penal Code, total;Thisted;2389;2422;2319;1907;2055;2279;1939;1577;1473;1911;1468;1736;1355;1090
Reported criminal offences;Penal Code, total;Vesthimmerlands;2372;2773;2679;2362;2281;2168;2280;1930;1955;1655;1573;1348;1306;1325
Reported criminal offences;Penal Code, total;Aalborg;15714;16716;16381;15919;17850;15417;15192;13613;12375;11057;11509;10277;9949;8190
